18||#2	QTV kiểm tra hộ mình..số đơn hàng 4653663 hoàn thành chưa ạ...e có thể tới shop lấy hàng được chưa
18||#2479	Cho minh hoi nếu mua may oppo f1s2017 moi hoan toan thi thong so Ram 4GB dung lượng 64GB. Xài dc 2ngay thi thay nang may. Sau khi xem lai thi dung lượng tổng 53.8 GB. Con Ram tổng 3.71GB. Toi muốn biết ly do??? Ace giai thích dum
18||#2480	Alo
18||#2494	Mình đang ở cà mau mình muốn các bạn nhân viên hổ trợ trã lời chính sát được hay không để mình đến làm thủ tục mua hàng xin cam ơn các bạn
18||#2495	cho hoi dt k sai van tuoc bin la bj ji dem ra bao hanh ve cung nz la sao
18||#2504	Tại sao đang nghe nhạc trên zing thì lại tự nhiên nhỏ lại( ko bấm nút giảm âm lượng) rồi phải tự tăng lên. Khắc phục sao bây h ad! Do chế độ j hay sao ạ?
18||#2515	cho hỏi là tại sao trên facebook lại đăng giá 559 nghìn ạ😊
18||#2532	May xai pin nokia duoc khong
18||#2543	sản phẩm có jack cắm tai nghe ơ phía tren hay dưới vạy ạ?
18||#2546	Mình mua con philip e 103 ở shop sao máy cứ tự động gửi tin nhắn văn bản. Mình ko biết máy gửi tin nhắn gì vậy?
18||#2579	Shop có trợ giá nova 2i không ạ
18||#2588	Z minh co thê bo khoản phi bao hiêm đc hk ad
18||#2589	Phi bao hiểm la sao z ad
18||#2603	e đag ở đồng nai mua máy được hơn tháng có hiên tượng đứg máy. e nên làm j ạ
18||#2604	Mình mua nova 2i tại fpt shop xuân thuỷ nhưng không được combo quà tặng mà chỉ được thẻ đt 100k. Các bạn qtv cho mình hỏi với được không. Mình cảm ơn
18||#2605	Mình mua vào đợt tặng loa lần 2 nhưng sao không thấy danh sách trúng loa đâu hết vậy
18||#2611	Khong thay ma san pham lam sao dac hang . Km tra gop % + voi phan qua ha
18||#2614	Cho e hoi ak
18||#2619	Mình và thằng bạn cùng mua nova 2ii. Nhưng sao 2man hình lại khác nhau. 1may thì am vàng còn may thi ko vậy trường họp này thì sao. Mấy điều chính ở che do chuan
18||#2645	2 camera mà sao khi chụp chị có 1
18||#2649	Xin hỏi, trong mục Cài đặt Camera, có mục là nhấn 2 lần nút giảm âm lượng sẻ cho phép chụp ảnh nhanh mà không cần mở Camera khi màn hình tắt. Nhưng sao vào kích chọn rồi thực hiện vẫn không chụp được?
18||#2672	Cho e hỏi tại sao khi chụp ảnh, hình ảnh cho ra không được sáng, mặt cứ bị đỏ hoặc hồng v ạ
18||#2685	k bít có cửa hàng nào trưng bàu so cho mình xem mẫu k nhỉ
18||#2686	Mình mới mua nên sạc pin thế nào ạ
18||#2707	Ad cho hỏi mình có mua máy cách đây 10 ngày nhưng nhân viên ko có đưa hoá đơn, vậy bh thế nào và bây giờ mình muốn lấy hoá đơn để bán máy có đc ko?
18||#2714	Sao fpt shop không công bố công khai danh sách trúng loa đợt 2 vậy?
18||#2726	con nay pmh co dc tru thang vao gia may ko? neu ko thi co dung de mua card dt dc ko?
18||#2727	Danh sách trung loa hardman kardon đợt 2 có chưa fpt shop?
18||#2732	Có ds trúng loa đợt 2 chua
18||#2733	Mua Friend được ko shop
18||#2734	Nova 2i có trợ giá ko shop
18||#2735	Ad có danh sách trúng loa chưa vậy
18||#2753	Trả góp Homecridit 30% trong 6 tháng mới đầu thấy chênh lệch với giá bán là gân 300k sao vô chọn giấy tờ thì lại là 874k
18||#2759	Cho mình hỏi có danh sách trung loa hardman kardon đợt 2 chưa vậy
18||#2764	Mình đk shop gọi là quay số trúng thưởng loa cho mình hỏi là thời gian vào khoảng ngày nào đến nhận được vì mình nghe k rõ
18||#2768	Chào FPT mình mua điện thoại Huawei nova 2i ngày 01.12 . hôm nay bên FPT điện cho mình nói mình trúng loa Harman kardon onyx studio 3(PGI) Trị giá 3 triệu .nói mình là từ ngày 15-20 tháng 12 sẽ có nhân viên gọi điện cho mình ra lãnh thưởng . cho mình hỏi là mình có trúng thật hay không ,nhân viên fpt có điện cho mình ra lãnh ko.thủ tục ra nhận thế nào .thanks fpt nhiều
18||#2770	Mình mua nova 2i ngày 01/11 thì có được tham gia quay trúng loa không qtv
18||#2772	Hôm 2/12 mình mua máy mà chẳng thấy hoá đơn bán hàng là sao nhỉ?
18||#2783	Phiếu mua hàng có đc trừ thẳng vào giá ko ạ
18||#2786	Xem danh sách trúng loa ở đâu vậy
18||#2788	co ds ket qua dot 2 chua qtv
18||#2791	Noi tang pmh mà s e mua chẳg thay tag j ht z
18||#2792	Bốc thăm trúng loa xem danh sách ơ đâu vậy
18||#2796	cho em hỏi theo thông tin của FPT SHOP thì thời gian sạc là 2 tiếng nhưng máy của em sạc lúc nào cũng trên 3 tiếng.(đã bật chế độ siêu tiết kiệm pin và dùng 1 sim)
18||#2798	Mình mua vây mình ko mua gói bảo hiểm được ko vậy.
18||#2811	Làm gì để được tặng loa vậy
18||#2816	Ad ơi em có gắn ốp lưng cứng ở máy này e muốn tha ra thì phải làm sao ạ mong ad chỉ giúp e
18||#2818	Có cơ hội bao nhieu phần trăm trúng loa đây
18||#2826	Ad cho mình hỏi là sao mình dùng máy khi xem Youtube phongd to màn hình xong rồi tắt máy tự dưng bị đen màn là sao
18||#2835	Hôm bữa e đc thông báo là trúng thưởng loa harman kadon. Mà ko thấy shop ll nhỉ. Hay tự mình tới liên hệ :)
18||#2836	Quà tặng hay may mắn mới trúng giải
18||#2849	Cho mình hỏi máy mình mua ở PFT Shop ở Tân Phước Khánh - Bình Dương, thông tin cấu hình máy là CPU Kirin 659 mà mình Test CPU - Z thì được kết quả là Kirin 650. Máy mình mới mua được 1 tuần
18||#2860	cho minh hoi la mua may dtdđ moi co can chung minh ko ak. hay can giay to gi ko ak
18||#2873	Co nhung mau gi ak
18||#2874	Ở vinh địa chỉ bao nhiêu v ?
18||#2875	Shop ở đâu v ạ
18||#2883	FPT da quay thuong loa Harman kardon khi mua Nova 2i chua vay ad?
18||#2888	Ad e hỏi ĐT e đang dùng là huawei i2 nó có thông báo đèn tin nhắn đến hoặc zalo Facebook nó ko cháy đen ạ e đã mở chế độ thông báo có đèn roi
18||#2890	Khi nào công bố trúng loa khi mua Nova 2i Shop
18||#2897	Có list khách hàng trúng thưởng đợt một chưa FPTShop?
18||#2898	Mua máy này có cơ hội trúng loa hardman quay trúng vào ngày 16.7.Vậy làm sao tham gia và sao biết kết quả có trúng ko vậy admin
18||#2907	Kết quả quay thưởng xem ở đâu ạ
18||#2925	Thông tin trúng loa được post ở đâu ạ , hay là liên hệ trực tiếp sdt người trúng ạ
18||#3026	sản phẩm này có hổ trợ trả trước 0d ko ad . mỹ tho tiền giang có hành ko cho địa chỉ
18||#3030	Ở hải phòng có may chua ạ. Trả góp ntn
18||#3041	Máy này dành cho nguoi có tuổi tốt không bạn
18||#3045	Cho mình hỏi những điện thoại nào có java
18||#3049	ở fpt shop có dt nào nghe FM mà ko cần cắm tai nghe ko vậy QTV?
18||#3050	Cho em hỏi máy này kích thước chữ trên màn hình lớn k ạ?
18||#3063	Sao máy này không cài sẵn nhạc chuông trong máy vậy ad
18||#3065	Máy này không giảm giá à ad tôi định mua 1 máy máy có bền không ad
18||#3075	cho hỏi
18||#3081	Mua trả góp 20% thì mỗi thág trả bao nhiêu ad.ở lào cai còn màu đen k
18||#3085	tại khu vực của mình không còn mẫu này thì mình có thể lại đó nhờ shop đặt về được không
18||#3133	mình muốn mua điện thoại dùng trong học tập và chơi game tầm giá 6tr thì nên chọn loại máy nào vậy ạ?
18||#3135	Quy định của FPT như thế nào là lỗi từ NSX vậy, ví dụ như bao nhiêu điểm chết, loa rè, máy bị treo cứng...?
18||#3140	ad cho hỏi mấy giờ bên mình nghỉ ạ
18||#3161	Mình phai bật 4g cả ngày thì liệu pin con này có đảm bảo được cả ngày không sop
18||#3164	shop oi e moi dang ki online mua tra gop dt xiaomi mi a1 e co dang ki sdt0948293932 neu gio nay shop dn e thi lh sdt 0945090318 nha e cam on
18||#3175	Chào bạn, nhờ bạn tư vấn mx6 với mi a1 con nào mượt hơn, khi chơi game, lướt web, ko nói camera
18||#3180	Cho biết thêm tt chi tiết với FPt ơi
18||#3198	Ko đong phi bao hiểm co dc ko
18||#3221	Bên hà nội mi a1 mình có ở những chi nhánh nào nhiều ạ
18||#3261	Mình ra cửa hàng có được test máy không vậy ad.
18||#3271	Mún đặt mua màu đen.
18||#3281	mình muốn đăng kí trả góp 0% nhấn vào đâu ạ? cho mình hỏi ở 538 XVNT phường 25 quận Bình Thạnh còn màu vàng ko ạ?
18||#3296	Còn mi 5x cũng là cái này đúng k ?? Sao con mi A1 k có sạc nhanh như mi5x
18||#3326	Cần thơ còn hàng không vậy? Và cho hỏi bản rom cao nhất là bao nhiêu gb
18||#3354	hàng chính hãng hả̉ anh
18||#3370	Mình đặt cọc 8 ngày rồi chưa có tin tức gì.. Ad kiểm tra đơn hàng 30921 khu vực vị thanh hậu giang giùm mình nha.. Muốn mua lắm..
18||#3412	Shop cho hỏi em mới lấy máy ở FPT thấy có hồng ngoại để điều khiển các thiết bị trong nhà nhưng không thấy có biểu tượng nào để vào là sao
18||#3424	Ad ơi mình đặt hàng 3 ngày rồi.. Ad kiểm tra dùm mình bao giờ khu vực Vị Thanh Hậu Giang về hàng ạ.. Thank ad
18||#3427	Mình đã đặt hàng mã 4469247 hiện tại mình thấy ngoài HN đã có hàng.thế mình có thể lấy sớm hơn đc không? Và nếu đợi thì khi nào có hàng ạ? Thanks ad!
18||#3430	When will you launch any other color products besides black ones?
18||#3431	Tôi sống gần Cầu Giấy, Hà Nội. Khi nào tôi có thể mua điện thoại di động này tại một cửa hàng gần Cầu Giấy, Hà Nội?
18||#3442	Đơn hàng 4464778 của tôi, ở Tp HCM chứ ko phải ở Huế ạ. Xin hỏi tới đâu rồi ạ?
18||#3444	Đơn hàng của tôi 4464778, xin hỏi đi tới đâu rồi ạ?
18||#3451	Đang mhốn xem tes máy ưng thì mua
18||#3453	Ở FPT Bảo Lộc có sẵn máy để trải nghiệm không QTV ? Khi mua có khuyễn mãi gì không ? ( quà tặng , PMH , dán màn hình ... ) Để mai mình ra test :)
18||#3469	o kon tum co hang chua shop. co khuyen mai gi kg
18||#3474	fpt cho hỏi.tôi đặt mua trả góp gói chi phí thấp như trên wep mà khi tính gia đâu có phải? thấy nv của home credit tính trả trước 1.200 còn lại mỗi tháng là 530n trong 12 tháng.thế cái thông tin trên wep là giả??
18||#3482	Mình đặt mua trả góp Xiaomi Mi A1, nhưng bên gọi lại báo hết hàng ở TP.HCM ko được trả góp. Nhờ FPT tư vấn giúp. Đừng xóa câu hỏi nữa.
18||#3491	Kt hộ mình đơn hàng 4451485 này sắp có chưa vậy?
18||#3493	shop cho hỏi là ví dị mình đặt hàng này ở khu vực ô môn cần thơ thì mấy ngày có hàng vì thứ 6 tuần này mình đi công việc rồi
18||#3495	Sao ko có bản màu vàng vậy ad? Mình định mua con màu vàng :((
18||#3505	Mình mới mua con mi 5x. Mình muốn cai chplay shop có ho tro không vậy mình ở long xuyên an giang
18||#3507	mình có đặt hàng online A1 gói trả góp lãi xuất thấp của home credit được 2 hôm rồi mà vẫn chưa thấy phản hồi của fptshop. máy đã có ở Thái Nguyên chưa vậy ad?
18||#3518	sao ở quy nhơn ko có xiaomi mi a1 vậy ad
18||#3521	máy có ở fpt Quy Nhơn chưa ad? em đưa trước 20% trả góp được không và số tiền phải trả là bao nhiêu ạ?
18||#3542	Cho mình hỏi khi có kinh doanh thì có kinh doanh bản màu vàng ko ạ? Hay chỉ kinh doanh màu đen thoi
18||#3544	hàng này bao giờ về vậy bạn.cho mình 1 khoảng xem có đợi đc k bạn nhé
18||#3548	Mình quan tâm đến cái cam của máy, nếu thực sự như quảng cáo thì tuyệt quá, rất đáng để mua.
18||#3551	Bao giờ sản phẩm này có hàng vậy ạ, và giá cả là bao nhiêu ạ
18||#3554	Sản phẩm này sẽ được bán tại hệ thống FPT vào thời gian tới có đúng không vậy ạ
18||#3559	Có nghĩa là vừa được trả góp 0% vừa được tặng thêm quà phải không shop?
18||#3561	Ban co dt nao gia 75o
18||#3565	Sản phẩm này có cần mua miếng dán màn hình hay kính cường lực để đề phòng đừng bị trầy xước và bể màn hình không ạ
18||#3571	Cho em hỏi mình còn pin khoảng 40% rồi đem sạc mà nhiều lần vậy có ảnh hưởng gì không ạ
18||#3573	S tin nhắn từ số lạ máy ghi là k rõ nguồn gốc và k xóa đc vậy ad?
18||#3615	Sao e sạc pin từ 4% mà trong lúc sạc ko dùng mà sạc mất hơn ba tiếng liền
18||#3617	Ram 3g. Rom 16g. . máy có bị yếu .hay đầy bộ nhớ k ad
18||#3628	chào shop ạ..tình hình em có cầm 1 cây oppo A71 của khách đã quá hạn cần thanh lý..nhưng em không biết khách mua ở đâu để em được nhận chế độ bảo hành..em xin gửi 2 số IMEI mong shop giúp đỡ..đồng thời kiểm tra ngày active máy giúp mình nhé!cảm ơn shop trước ạ!! imei1 865524032326392 imei2 865524032326384
18||#3637	Mình vừa mới mua nhưng với giá 4tr790 là sao vay ban? Mình ở gia lai
18||#3668	E mua máy từ tháng 10 năm 2017. V mà khi check bảo hành thì máy chỉ bảo hành tới tháng 7 2018. V máy có phải là bị kích hoạt trước khi e mua ko ạ.
18||#3678	Qtv,toi co dac may o ho phong gia rai.baclieu.nhu gio toi kg ra dc.may htc 10 shop kg can du hang toi,nao toi mua se dc hang loi sao.don hang 4677018
18||#3680	Nếu mình muốn mua trả góp mà tại cửa hàng không có máy, vậy có thể chuyển máy từ cửa hàng fpt khác về dc ko
18||#3683	Toi da dac hang roi,2 den 5 ngai hang se ve.muon xem hang,neu dc thi mua kg dc kg mua co dc kg
18||#3684	Ho phong,gia rai,bac lieu
18||#3695	Tôi muốn mua trả góp nhưng k có sỗ hộ khẩu chỉ có sổ hộ khẩu pôt công chứng z có đc k ? Cửa hàng FPT ở tây nình còn máy k?
18||#3700	the cong ty tai chinh co dong y k b?
18||#3712	Chào ad! Cho mình hỏi hiện giờ ở Quận, Huyện nào ở Hà Nội có máy htc evo này vậy?
18||#3715	Chào ad! Cho mình hỏi hiện giờ ở Quận, Huyện nào có máy htc evo này vậy?
18||#3723	Với giá hiện tại trả góp 0% thì thế nào ạ. Hạ Long còn hàng không?
18||#3746	Shop cho mình hỏi còn hàng ở Gò Dầu (TN) không? Mua trả góp có được khuyến mãi tặng Bao da HTC Ice View không?
18||#3754	Dt Htc 10 Evo của mình mới mua nhưng đôi khi nhận cuộc gọi đến thì màn hình đen ko trả lời được. Ba phím điều hướng thì vẫn sáng, mình đã thử khôi phục cài đặt gốc nhưng vẫn bị. Ad cho hỏi bị sao vậy ?
18||#3775	Con chíp s810 v.2 này hiệu năng kém bao nhiêu % so vs con chíp s810 v.1 kia mình chỉ hỏi con chíp thôi ko liên quan đến tùy biến hệ điều hành của nhà sx nào.
18||#3778	Qtv cho mình hỏi khi mu sp này được tặg bao da HTC ice view là bo da có chính hãng ko? Nếu tại địa phương hết hàng mình đặt hàng thì bao lâu mới nhận được và có được nhận km như trên ko? Cám ơn ạ?
18||#3781	Biết là shop sẽ khui hộp trc nhưng tôi muốn tự là mình khui hộp liệu shop có đáp ứng dc ko?
18||#3782	Tôi muốn mua hàng nguyên seal liệu shop có đáp ứng dc cho khách hàng ko
18||#3785	HTC 10Evo lỡ làm mẻ nhẹ cạnh nhẹ điên thoai.. Cho hoi dem vé 9 hảng làm lại bao nhiêu Tiền vay...
18||#3795	Ơ sao lúc trc có 5.490 thôi mà sao giờ lại tăng giá rồi
18||#3811	the htc10evo nhiet do cao co anh huong toi may ko.
18||#3812	ad cho hoi?htc 10 evo nhiet do len cao co anh huong toi may nhieu ko.
18||#3817	ad cho hoi?ho cho dung luong len toi 2tb la gi?.
18||#3821	Máy này có bị lỗi quá nhiệt ko ad
18||#3826	dt bị mất lo là bị j mấy ah
18||#3838	Chào ạ shop cho em hỏi máy này dễ sử dụng kh ạ có j khó kh ạ chất lượng tốt kh ạ máy này có nhiều tính năng chụp hình kh ạ dễ chụp kh ạ em mua gop tháng góp nhiêu ạ bao nhiêu tháng hết. Khi mua góp có tặng quà j kh ạ
18||#3863	Máy có mấy màu vậy
18||#3870	Mẫu này ở fpt long thành còn hàng ko ad? có tặng Flip Cover Ice View ko vậy?
18||#3873	sao o co tay nghre
18||#3893	Ở ngã 7 hậu giang ko có hàng thì lm sao ad
18||#3904	xin chào QTV, mình ở quảng ngãi, mình đã kiểm tra tình trạng còn máy ở chổ mình hay không thì biết là đã hết.. vậy mình muốn trải nghiệm máy thì phải làm sao ạ ?? rồi khi nào lại có máy ở quảng ngãi cho mình trải nghiệm ạ ? cảm ơn QTV
18||#3908	nếu đặt online thì giao hàng theo COD và có hai màu là đen với bạc đúng ko ạ
18||#3910	Qtv cho e hỏi e ở hưng hà-thái bình máy còn hàng ko ạ.và nếu ko còn thì shop có hộ trợ chuyển từ nơi khác về ko ạ.
18||#3918	Cho e hỏi một câu nữa là e xem sim vina 4g fpt 79 11 số giá là 75000 được miễn phí 2gb tốc độ cao trên tháng đó dung lượng data đó đều sử dụng 3G hay 4G được phải không vậy
18||#3919	Kiểm tra dùm em đơn hàng 4304987 có phải là sim 4g fpt 79 không vậy
18||#3920	Với máy cũ dạng đổi trả thì bên mình có thể chuyển giao sản phẩm từ tỉnh này sang tỉnh khách được không ạ. Hiện tại em ở Tây Ninh nhưng những địa chỉ của sản phẩm đổi trả lại quá xa. Mong được ban Quản Trị tư vấn hướng dẫn ạ.
18||#3936	Cho e
18||#3971	máy với phụ kiện thì đầy đủ chỉ có phần vỏ họp thì hơi bị thiếu thôi kh pít có dc kh ạ
18||#3975	Shop ơi. Em đang ở Lai Châu. E muốn mua trả góp điện thoại HTC 10 EVO màu Gray nguyên hộp. Nhưng ở FPTshop Lai Châu chưa có hàng..... Bao giờ thì em ms có cơ hội trải nghiệm máy này đây?
18||#4002	HTC 10 EVO 1 sim hay 2 sim? Chất lượng âm thanh như thế nào không thấy đề cập đến? Nếu trả trước 50%, 50% còn lại trả trong 3 tháng thì có được không? FPT Ninh Thuận có hàng không?
18||#4034	Pin máy thời gian chơi game . Xem phim bao lâu vs máy nóng có gây hao pin k
18||#4056	Máy có mấy màu vậy?
18||#4072	bên mình có htc 10 evo về siêu thị chua ak.và có ho trợ trả góp lãi suất 0% k ak
18||#4090	diem 3d bnhiu
18||#4107	có hàng liên hệ mình nha
18||#4118	Bên thế giới di động cuối tháng 6 có hàng mà bên mình k biết là sao?thích mua bên mình vì kèm theo khuyến mãi.
18||#4122	Mọi người có thể nhận xét sau khi sữ dụng sản phẩm Techno camon cx được không mọi người?
18||#4134	Cho hoi minh thay mat lung cua s8 sao thay mat lung cua dai loan vay
18||#4141	Co co hoi so huu ao hoac bong manchester la sao a
18||#4142	Chung nao moi ban tecno phantom 7 vay gia gan 7 trieu la hot lam do shop oi dem con do ve ban di cung dong tecno
18||#4211	Mình vừa mới mua nhưng buồn thay là vừa bị trộm và còn đang trong quá trình góp điện thoại. Vậy mình có thể lấy cái mới hoặc có thể lấy lại điện thoại đã mất ? Mình đã mất nhưng không thế là tìm được và khóa đt lại.FPTshop có giải pháp nào hay k ?
18||#4218	huawei pad t1 10
18||#4220	FPT shop có biết so sánh máy ko vậy
18||#4226	Chào shop nha shop em mua góp máy này tháng nhiêu ạ bao nhiêu tháng hết ạ shop máy này chất lượng tốt không shop ạk khi mua shop có thể bật nút sổ người trên fb em nha shop có tốn tiền kh shop Camre chụp ổn ₫ẹp chất kh ạ
18||#4227	Cho e hỏi sp này còn ở tiền giag k? Và e là sv muốn trả góp thì cần giấy tờ gì ạ?
18||#4228	Các smartphone tầm trung thường lấy nét chụp khá chậm, dẫn đến việc bỏ qua những thời điểm "hot". Riêng con Huawei Y7 Prime này mình thấy tốc độ chụp quá tốt, hợp với nhu cầu "bắn" dạo những khoảnh khắc khó đỡ của lũ bạn :)
18||#4239	Camera Huawei Y7 Prime cực nét kết hợp với công nghệ làm đẹp 3.0 nữa thì oppo hay samsung chẳng có tuổi gì mà sánh được.
18||#4250	Cho mình hỏi, trả góp có được tặng balo k ạ? Đã có máy ở các cửa hàng chưa ạ?
18||#4259	Có hàng pm mình nhé
18||#4261	Cho em xin điểm antutu
18||#4272	ad cho em hỏi em lớp 9 di mua con này cái sim thì tự mua hay nhờ anh em đăng ký giúp ak
18||#4312	muốn mua máy cũ nhưng sợ máy bị lỗi
18||#4327	E muon lay qua la ao khoat dc ko.neu con ao e moi mua dc ko ad
18||#4329	FPT ơi, mình mới mua chiếc Zenfone 4 Max Pro đc mấy hôm, bị rơi nứt kính ở 1 góc dưới bên trái. Shop có hỗ trợ thay thế ko vậy?
18||#4341	cho e hỏi còn máy cũ không shop? cho e cái giá ạ.
18||#4346	sao minh thay gioi thieu la 5.2" gam 4g ma shop
18||#4348	mua được tặng áo khoác có size lớn nhất là bao nhiêu z ad??
18||#4371	Ở FPT Quảng Ngãi có k ạ?mình muốn mua trả góp thì bao nhiêu sẽ k tính lãi % vậy ạ?
18||#4380	E mới mua mà dùng ko thấy ưng lắm định hoàn trả mua cái tốt hơn thì phải làm sao ạ. E vùa mua hôm qua
18||#4391	nữ thì dùng đt này có thô ko ạ tại e thấy nó có vẻ nặng quá
18||#4395	Có bán chịu ko
18||#4396	Cho e hoi con nay cai dac cham 2 lan sang mang hinh cai lam sao ah
18||#4404	Sao bữa hôm mình mua ko duoc tạng gi vay nhi
18||#4448	xem xong video giới thiệu bỗng giật mình vì chẳng thấy có tai nghe trong video.....?
18||#4449	Cho e hoi may Sao Sai dc co1 lo vay
18||#4466	May as it ZenFone 4max pro nay man Hinh toi Hon so coo may khac co psi no qtv
18||#4486	cho mình hỏi mình muốn đặt mua hàng thì khi thanh toán có hóa đơn đỏ không ạ
18||#4507	sao minh sax den 8 tieng rua moi day shop
18||#4531	Cho e hoi..tai sau co 2 loa ngoai, ma chi nghe duoc 1 loa z
18||#4544	ở fpt tam điệp ninh bình đã có hàng chưa ạ. mình muốn trả góp trong 4 tháng. trả trc 2tr thì lãi xuất thế nào a. cảm ơn fpt
18||#4556	mh đang quan tâm sp này.sp này được trả góp bao nhiêu thời gian vậy shop.được nhận cả 3 khuyến mãi ah shop
18||#4557	Minh mua Chiec zenfone 4 max pro tai fpt shop hiện may cua mình bị vỡ man hình ngoài ben fpt co thay lai dc ko ah
18||#4606	Sao thấy trên mạng bảo con này ko có sạc nhanh vậy ad.Mấy cửa hàng điện thoại cũng bảo ko có
18||#4607	Thay trên mạng giới thiệu nokia 6 ram 4gd rồi mà sao hỏi shop không có phiên ban ram4gb vậy
18||#4629	E đặt hàng rồi màu xanh đen tại shop 456 quốc lộ 22, Gò Dầu , Tây Ninh.shop báo e rồ.chừng nào e mới có hàng đâyt
18||#4631	Hiện địa chỉ ngãi giao châu đức còn hàng này đủ màu ko adm.Và nhân PMH 200k có yêu cầu đặt hàng online ko.200k đó mình mua phụ kiện trừ thẳng vào sản phẩm đúng ko ạ.
18||#4638	Mình mua nokia 6 bằng hình thức gửi online. Bây giờ muốn kiểm tra ngày active của máy thì phải làm cách nào nhỉ ? Trên Iphone có trang check nhập imei để biét ngày bảo hành,rồi từ đi 1 năm là ra ngày active. Nhờ bạn giải đáp giúp
18||#4645	Cho e hỏi nay còn chương trình hỗ trợ cho công nhân một số công ty mua đt k vậy
18||#4648	Cho e hỏi nokia 6 màu airt đen phiên bản giới hạn nhiêu còn k vậy và giá có thay đổi k ạ :) thanks
18||#4664	mình dán kính cường lực không ôm hết được màn hình. hỏi họ thi họ bảo màn hình cong, k ôm đc hết
18||#4705	Fpt cam ranh - khành hòa có nokia 6 màu xanh & ốp lưng không. Pmh 600k có trừ vào máy lun ko.
18||#4734	Tôi muốn mua hàng thì làm the nào
18||#4747	Máy có màu xanh không ạ? Và mua trả góp 0% của cty tài chính nào ạ
18||#4763	Có màu gì vậy
18||#4772	Cửa hàng ở nam sách hd ở chỗ nào vậy
18||#4785	Vạy bên fpt có h Ben ban con cong ty tai chính nào vay ngoài home.và Fe vạy
18||#4793	ad cho em hoi
18||#4815	Hiện tại fpt shop ở omon cần thơ còn nokia6 k !còn thì màu nào ,có mua trả góp 0% lãi suat đc k qtv
18||#4822	Bên mình có sửa màn hình Nokia 6 không ạ
18||#4839	có thể chụp hình cửa hàng nằm ở 68 hùng vương thành phố tân an long an cho mình xem để mình biết rõ vị trí cửa hàng ko bạn
18||#4840	cho mình hỏi muốn mua nokia 6 bản 64gb cửa hàng bạn có bán không ? Nếu cửa hàng chỗ bạn không có mình có thể đặt mua ở cửa hàng bạn được không ? Và giá niêm yết khoảng là bao nhiêu ?
18||#4872	máy có mấy màu vậy shop
18||#4896	chop minh hoi pin liền máy không tháo ra được thi lúc nó bị đơ máy thì làm thế nào được
18||#4897	cho mình hỏi nokia 6 có chế độ sạc nhanh nghĩa là sao vậy ad ?
18||#4911	MK mun hỏi shop chút dk k ak
18||#4913	Cho em hỏi bên anh có dán cường lực meizu m3 not không anh giá bao nhiêu có được bảo hành 3 tháng không anh
18||#4924	Shop ơi bao giờ mới có nokia vậy đặt trước nửa tháng rồi
18||#4965	Sao em thấy trên youtobe review nokia 6 nút home ẩn trên bề mặt chứ đâu có nổi như thế này ạ
18||#4970	cho mình hỏi mình bị nứt màn hình điện thoại nokia 6, chỉ là nứt lớp kính ngoài còn cảm ứng và mọi thao tác điều ok, nhưng mình muốn thay mặt kính cho ĐT vì nhìn hơi mất thẩm mỹ, vậy FPT cho mình hỏi là với trường hợp của mình sẽ là thay kính thôi hay phải thay cả màn hình luôn và giá thay linh kiện là vào khoảng bao nhiêu không ? Thank !
18||#4981	Mình đang dùng Nokia 6, muốn tim google play store , đang cần trợ giúp của các bạn.xin cảm ơn.
18||#5005	Tư vấn kỹ thuật hỏi số nào vậy. Câu hỏi của mình sao lại bị ẩn
18||#5007	Bạn ơi mình hỏi này.. FPT có tài trợ cho trang bán hàng Sendo.vn không vậy ad
18||#5012	Mk muốn mua bản màu đen có cần phải đặt hàng k ạ
18||#5017	cho em hoi em co mua mot dien thoai nokia6 co ghi ho tro the nhớ 128gb sao sài tới thẻ nhớ 32gb máy lai chạy không nổi giai thich zum em cái ad ơi
18||#5018	Mih đang dùng nokia6 thì nên dùng loại kính thực tế ảo nào tại thị trấn hát lót co hang ko
18||#5019	Qtv cho mih hỏi với nokia6 thì tuong thich với kinh thực tế ảo nao tai hát lót cơ ban ko
18||#5048	Qtv cho mình hỏi..khi để sđt lên đây để đặt hàng ..sđt có đc giấu số ko vậy..vd 090xxx đại loại như thế...hay sđt để phơi ra lun..
18||#5055	Giờ em ở nha trang mà hàng đã hết.còn giờ em đặt online thì khi nào có hàng ạ
18||#5063	cách kiểm tra làm sao có thể biết MDMH cường lực nokia 6 có hàng tại hóc môn...giống như kiểm tra máy vậy...để biết lúc nào có biết lên dán.
18||#5083	Mình muốn mua ốp lưng cho máy này 539le thanh tong de mình 1kai nhe
18||#5092	Cho mình hỏi may noi 1doi 1 trong 1 tháng đầu ma giờ 20%tram tien là thế nao
18||#5114	Có mí màu a
18||#5131	Hồ sơ của mình có thông tin chưa bạn 01663920982
18||#5146	Còn màu xanh đen ko shop? mình mua trả góp qua thẻ tín dụng có được hưởng khuyến mãi gì ko?
18||#5147	Nap nhanh cho Nokia 6 thi lam to a
18||#5162	E muon mua nokia6.nhung khu vuc e o het hang thi ben mình c9 chuyen hang ve shop có đơn hang k ad
18||#5164	Làm sao để biết được máy cũ máy cũ hay máy mới.đối với Nokia n6
18||#5215	Ốp lưng và miếng dán màn hình sản phẩm này ở tp vinh nghệ an còn k shop ?. Mà có thì giá bao nhiêu ạ ?
18||#5243	Chưa có
18||#5257	Leagend comeback Ah you are beautiful for now.
